content_type,creator_category,account_type,has_call_to_action,description_length,hashtags,followers,account_age_months,historical_avg_views,historical_engagement_rate,posting_hour,day_of_week,expected_views,expected_engagement_rate,performance_score,performance_category
reel,Fashion,creator,1,122,8,3940,11.3,264,3.53,8,Wednesday,1117,4.3,40.2,Medium
image,Fashion,creator,0,100,7,27226,17.1,14046,4.41,15,Saturday,30376,6.24,91.9,High
reel,Lifestyle,brand,1,175,4,1199,0.0,173,5.0,14,Thursday,605,3.14,18.8,Low
reel,Comedy,creator,0,94,3,10917,12.2,2628,5.26,7,Friday,5793,5.13,73.2,High
carousel,Food,creator,0,108,5,2350,30.8,129,4.22,2,Tuesday,518,3.57,21.1,Low
reel,Fitness,brand,1,133,7,2638,19.3,218,3.91,2,Friday,669,4.2,30.0,Low
reel,Food,brand,1,113,6,959,23.8,165,4.77,13,Wednesday,1362,5.65,55.3,Medium
image,Fitness,creator,1,78,8,1681,7.1,530,4.64,4,Monday,750,4.69,36.7,Low
carousel,Travel,creator,1,112,3,22113,20.4,1926,1.26,5,Tuesday,4281,1.74,41.7,Medium
image,Lifestyle,creator,1,108,7,1422,0.5,816,7.36,15,Tuesday,1344,7.92,63.1,Medium
image,Technology,creator,0,125,10,1394,4.5,72,1.31,9,Monday,710,1.16,9.4,Low
image,Lifestyle,creator,1,149,7,65697,15.5,4225,0.36,22,Saturday,10792,1.7,51.1,Medium
carousel,Photography,brand,0,120,4,16448,22.1,2080,1.84,23,Thursday,3815,4.08,58.3,Medium
carousel,Music,creator,1,156,6,236150,26.5,32540,5.78,16,Monday,116863,7.42,98.1,High
carousel,Travel,creator,1,117,8,82099,15.9,13839,5.33,19,Friday,71490,6.28,94.0,High
reel,Comedy,brand,0,177,6,4608,12.1,357,2.12,18,Tuesday,2270,4.48,54.4,Medium
reel,Food,creator,0,135,9,40910,1.5,8356,5.4,22,Friday,19900,5.25,84.0,High
reel,Food,creator,0,58,7,4622,18.5,145,5.58,5,Tuesday,472,3.63,20.8,Low
image,Lifestyle,creator,0,118,9,200,10.5,57,4.65,6,Monday,547,4.81,33.3,Low
image,Photography,creator,0,122,7,5357,24.2,1023,3.15,13,Tuesday,1618,3.47,39.0,Low
image,Travel,creator,0,161,3,12719,13.5,2666,2.17,17,Wednesday,5418,3.63,58.5,Medium
image,Food,brand,0,177,10,17610,11.4,1105,3.49,7,Friday,1649,4.23,46.6,Medium
reel,Fashion,creator,0,235,2,238360,16.6,23093,5.27,21,Thursday,49766,4.63,81.4,High
carousel,Technology,creator,0,96,4,2871,12.8,363,5.37,5,Saturday,1058,3.99,36.2,Low
image,Music,brand,0,62,6,92460,11.3,10111,5.86,22,Saturday,17706,6.46,90.8,High
reel,Technology,creator,0,198,2,29254,5.1,6031,5.0,11,Friday,6395,4.29,66.6,Medium
carousel,Photography,brand,0,77,4,13894,15.2,2061,2.02,9,Friday,2782,1.7,35.4,Low
carousel,Fashion,creator,0,160,7,154535,29.9,13170,4.29,22,Wednesday,31973,4.41,78.1,High
carousel,Beauty,creator,0,37,5,9142,15.1,3170,5.3,11,Friday,5572,4.72,69.1,High
reel,Food,creator,0,123,1,696,16.3,133,4.3,21,Saturday,1551,5.67,57.8,Medium
reel,Photography,creator,0,96,9,85048,33.8,32252,2.91,8,Wednesday,63949,4.57,81.3,High
image,Photography,creator,1,145,11,1310,22.4,282,5.11,17,Tuesday,500,5.7,39.5,Medium
image,Comedy,creator,0,76,5,4235,3.2,296,4.83,5,Tuesday,716,4.85,37.3,Low
carousel,Fitness,creator,1,98,8,38895,27.0,2432,2.73,13,Tuesday,8105,3.62,62.7,Medium
image,Photography,brand,0,87,5,8367,12.5,648,0.67,12,Thursday,1088,3.02,27.9,Low
reel,Food,brand,1,113,6,63426,12.6,8672,1.79,2,Saturday,14875,0.97,50.8,Medium
reel,Photography,brand,1,109,3,684,10.6,132,7.05,22,Friday,720,7.68,51.3,Medium
reel,Photography,creator,1,111,4,1779,12.6,47,5.48,16,Wednesday,660,4.1,28.8,Low
carousel,Beauty,creator,1,135,4,2481,18.1,458,3.29,0,Saturday,1069,4.47,41.0,Medium
image,Lifestyle,creator,0,13,3,200,1.6,57,5.21,10,Sunday,513,3.12,16.9,Low
reel,Fitness,brand,0,164,11,15681,18.9,1443,7.74,22,Saturday,5263,7.94,84.0,High
image,Fitness,creator,1,108,7,17042,13.4,627,2.2,13,Thursday,1672,1.77,27.3,Low
carousel,Technology,creator,0,78,3,318,4.1,96,4.79,20,Tuesday,495,5.52,38.0,Low
reel,Lifestyle,creator,1,78,5,32372,30.5,1436,5.5,7,Monday,3411,5.22,67.3,Medium
carousel,Travel,creator,0,50,4,12402,24.5,2921,6.09,16,Sunday,5506,6.2,79.7,High
image,Lifestyle,brand,1,104,7,5178,23.0,452,3.76,18,Friday,1112,4.33,40.4,Medium
image,Food,creator,0,138,3,56127,24.3,4585,2.0,16,Wednesday,7147,3.62,61.6,Medium
image,Photography,creator,1,98,3,974,36.2,130,4.9,19,Monday,646,4.55,32.8,Low
image,Food,brand,0,83,8,28864,20.7,1721,3.59,9,Wednesday,4024,5.14,68.9,Medium
image,Fitness,brand,0,181,6,2375,13.7,629,3.55,2,Friday,725,2.32,15.3,Low
image,Food,brand,0,78,7,4852,10.3,463,2.0,11,Monday,632,3.97,27.0,Low
reel,Food,brand,1,76,13,2714,17.9,273,4.1,9,Friday,2053,3.66,45.0,Medium
reel,Music,brand,1,77,5,3793,38.3,171,3.94,19,Tuesday,1220,3.75,36.7,Low
carousel,Fashion,brand,0,149,5,39819,11.0,20079,2.58,13,Thursday,41101,3.28,68.3,Medium
reel,Fitness,brand,0,240,8,6699,11.2,1691,7.51,2,Tuesday,2552,6.45,70.4,High
carousel,Comedy,brand,0,115,6,5455,15.2,781,2.97,19,Sunday,2153,3.33,42.6,Medium
carousel,Music,creator,1,119,6,11664,17.5,3366,6.04,9,Monday,11407,4.99,78.4,High
image,Fashion,brand,1,177,8,27427,0.9,1072,2.2,23,Wednesday,3967,2.77,47.2,Medium
reel,Lifestyle,creator,0,83,4,19310,20.5,4400,5.04,6,Monday,8826,4.46,71.4,High
image,Comedy,brand,1,115,5,21929,5.3,1862,2.21,22,Friday,3240,4.52,60.2,Medium
image,Food,creator,0,117,9,9728,7.4,595,0.1,7,Sunday,1244,0.9,18.9,Low
reel,Lifestyle,creator,0,32,4,190248,18.6,40332,4.01,12,Saturday,93038,3.82,74.7,High
carousel,Comedy,brand,1,174,6,75982,27.3,3864,1.45,12,Thursday,11849,0.1,47.7,Medium
reel,Fashion,creator,1,152,7,16153,20.5,2263,3.83,18,Wednesday,4934,4.48,65.3,Medium
image,Lifestyle,brand,1,149,4,23609,25.5,696,1.54,15,Saturday,2073,2.27,33.8,Low
reel,Photography,creator,1,170,4,22867,35.2,1966,0.72,0,Thursday,3362,0.71,35.0,Low
carousel,Lifestyle,brand,0,83,7,84254,7.9,20124,3.95,16,Thursday,30334,5.08,84.3,High
reel,Photography,creator,0,99,5,1212,14.3,71,1.98,0,Saturday,708,1.95,12.7,Low
reel,Comedy,creator,1,176,6,15598,0.0,3102,0.1,16,Tuesday,8645,0.99,46.7,Medium
carousel,Technology,brand,1,56,7,287,0.0,30,4.15,2,Thursday,442,2.35,9.9,Low
carousel,Photography,brand,0,99,7,688,8.5,57,5.05,20,Thursday,436,5.79,39.0,Low
image,Travel,brand,0,161,7,7815,19.8,1730,2.56,16,Wednesday,1786,3.45,40.6,Medium
reel,Travel,brand,1,113,5,3537,22.7,1499,7.35,6,Wednesday,2272,6.2,67.5,Medium
image,Technology,creator,0,168,6,871,18.9,142,1.79,5,Sunday,368,1.87,6.0,Low
carousel,Fitness,creator,1,164,7,4883,0.6,1335,5.15,5,Thursday,3413,2.38,42.4,Medium
carousel,Food,creator,0,108,4,53876,14.5,10128,2.1,22,Thursday,32788,3.54,70.1,High
reel,Food,brand,1,60,3,46632,7.7,2416,2.9,9,Thursday,9530,1.2,48.2,Medium
reel,Music,brand,1,91,6,3358,21.5,147,5.73,7,Sunday,1431,4.83,49.8,Medium
image,Lifestyle,creator,1,179,6,389132,21.8,133316,5.24,19,Saturday,153736,7.3,98.0,High
reel,Technology,creator,1,89,7,25123,24.4,9965,3.56,17,Thursday,28237,5.08,84.0,High
carousel,Technology,creator,1,121,10,26610,17.3,4026,2.76,6,Friday,10344,2.72,57.2,Medium
image,Travel,brand,1,186,9,11796,,980,0.1,6,Wednesday,1870,0.1,24.8,Low
reel,Technology,creator,1,116,10,26098,19.9,3769,2.6,1,Monday,9678,2.94,58.3,Medium
carousel,Photography,creator,0,78,5,1791,22.8,321,3.69,9,Sunday,1225,5.18,49.9,Medium
carousel,Travel,brand,0,100,3,116315,29.1,32555,1.9,4,Wednesday,28463,4.16,75.4,High
carousel,Travel,brand,1,115,3,560,28.5,30,1.67,7,Wednesday,635,2.9,17.5,Low
carousel,Fitness,creator,1,114,3,3878,5.9,536,1.98,21,Sunday,1830,5.11,56.6,Medium
carousel,Photography,brand,1,38,3,2333,1.3,588,4.47,4,Tuesday,911,5.65,47.8,Medium
reel,Beauty,creator,1,79,8,20548,9.8,2064,3.22,18,Thursday,4372,4.5,64.1,Medium
image,Technology,creator,1,98,10,4560,9.8,235,4.67,20,Monday,894,3.69,30.4,Low
reel,Food,creator,1,47,7,44777,8.2,19054,4.04,7,Wednesday,41273,5.42,87.7,High
image,Fitness,brand,0,115,3,12798,16.9,2222,1.73,20,Thursday,2355,1.33,31.3,Low
carousel,Music,creator,0,173,2,33144,8.9,2037,4.12,13,Tuesday,6963,5.23,76.1,High
carousel,Photography,brand,0,158,4,200,6.7,30,5.59,18,Wednesday,422,6.76,43.4,Medium
reel,Comedy,creator,1,49,4,717,14.1,140,2.71,13,Sunday,794,3.21,23.9,Low
carousel,Photography,creator,0,137,9,21157,0.0,867,3.09,9,Saturday,2891,4.73,60.6,Medium
reel,Fitness,brand,0,84,9,4965,17.8,560,0.1,19,Tuesday,2375,1.15,30.9,Low
carousel,Fashion,brand,0,116,5,42971,30.2,1143,1.27,8,Thursday,5613,4.24,64.6,Medium
carousel,Fashion,brand,0,78,8,8622,11.6,571,3.69,21,Sunday,2869,5.13,64.1,Medium
carousel,Technology,creator,0,55,5,1600,4.3,175,4.08,20,Wednesday,803,4.5,36.1,Low
reel,Travel,creator,1,162,6,2732,15.6,595,4.71,17,Thursday,1965,5.84,63.0,Medium
image,Photography,creator,1,116,7,6025,,1049,4.87,17,Tuesday,1131,3.66,34.5,Low
reel,Travel,brand,0,159,4,7263,7.4,2323,4.28,5,Friday,5670,5.01,71.9,High
image,Photography,creator,0,64,8,1361,17.4,208,4.18,17,Tuesday,419,5.45,36.3,Low
image,Fashion,creator,0,122,4,4978,17.0,581,1.24,11,Tuesday,664,0.55,7.0,Low
reel,Fitness,creator,1,55,6,7309,13.7,331,5.68,2,Friday,1009,4.66,41.6,Medium
carousel,Travel,creator,0,140,2,3693,25.6,223,2.84,3,Sunday,716,1.51,10.8,Low
reel,Photography,creator,0,81,7,5936,28.1,1063,5.45,3,Sunday,868,4.05,33.1,Low
reel,Music,brand,0,57,4,21393,23.2,2657,0.72,3,Tuesday,2871,0.97,33.3,Low
image,Technology,brand,1,168,8,7867,12.2,1225,4.53,4,Tuesday,1733,5.21,56.4,Medium
image,Fitness,creator,0,49,7,13022,0.0,3390,2.4,22,Wednesday,5174,3.61,57.8,Medium
carousel,Fitness,creator,1,161,5,2685,11.2,346,1.36,14,Tuesday,1154,3.12,29.8,Low
reel,Lifestyle,creator,1,10,6,2497,22.8,277,2.1,16,Tuesday,1126,1.56,19.3,Low
reel,Fitness,brand,0,87,5,3865,10.2,1161,7.53,0,Tuesday,2744,6.7,72.5,High
reel,Travel,creator,0,50,6,200,5.9,44,3.54,3,Sunday,765,2.41,16.9,Low
reel,Photography,creator,0,166,6,3142,7.2,828,6.08,22,Saturday,2103,7.0,69.2,High
carousel,Comedy,creator,0,146,3,1038,0.0,85,1.54,19,Wednesday,575,3.04,17.3,Low
reel,Photography,creator,0,157,6,5159,19.6,417,0.54,13,Saturday,1665,1.57,26.3,Low
reel,Photography,brand,0,189,4,3294,15.2,779,1.06,8,Saturday,2032,0.66,27.1,Low
carousel,Comedy,brand,0,169,4,6229,4.6,421,3.93,13,Friday,2614,4.57,57.4,Medium
image,Food,creator,0,132,4,7139,0.3,502,5.85,4,Friday,1061,5.18,47.3,Medium
reel,Photography,creator,1,213,6,6025,24.9,1490,5.0,0,Thursday,2528,3.69,48.7,Medium
carousel,Technology,creator,0,165,7,2718,13.7,532,5.89,9,Saturday,1281,5.04,49.6,Medium
image,Technology,creator,1,112,6,1970,13.7,124,2.47,21,Wednesday,582,3.14,18.3,Low
reel,Comedy,brand,1,108,11,14679,11.6,3320,3.69,12,Sunday,8477,3.48,61.8,Medium
carousel,Music,creator,1,47,2,40496,13.3,15936,5.29,1,Saturday,47424,5.63,89.5,High
carousel,Fitness,brand,0,127,8,26232,26.3,4488,2.43,9,Thursday,4268,1.9,42.5,Medium
reel,Photography,brand,1,108,8,31153,13.7,12452,6.03,16,Thursday,25970,6.7,93.3,High
reel,Travel,creator,0,149,8,29413,15.2,4183,1.6,0,Friday,9699,1.24,48.5,Medium
reel,Lifestyle,brand,0,66,8,9975,30.6,2768,2.67,13,Monday,6854,2.99,55.4,Medium
carousel,Travel,creator,0,121,10,60255,0.0,12254,4.69,10,Sunday,28614,3.66,70.8,High
reel,Lifestyle,creator,0,132,2,75883,15.1,4082,4.34,23,Monday,7949,5.32,78.0,High
reel,Fashion,creator,1,71,7,1242,18.1,155,4.27,7,Monday,804,5.06,41.3,Medium
image,Photography,brand,1,94,6,1929,19.5,524,2.84,19,Thursday,1134,3.97,37.4,Low
reel,Food,creator,0,119,7,32977,31.4,6282,3.76,2,Saturday,14835,3.66,67.8,Medium
reel,Comedy,creator,1,92,7,1550,19.0,56,2.22,22,Thursday,2216,3.09,41.1,Medium
reel,Technology,creator,0,131,4,11499,13.2,1251,0.83,15,Sunday,2162,3.08,40.6,Medium
image,Photography,creator,1,45,9,3158,22.6,343,2.85,4,Sunday,397,1.68,5.4,Low
carousel,Music,brand,0,58,1,1253,5.2,164,0.62,1,Tuesday,690,0.1,6.9,Low
image,Comedy,brand,0,30,9,4855,15.6,2354,5.24,6,Thursday,2489,5.96,67.6,Medium
image,Beauty,creator,1,97,4,12202,16.8,2878,5.58,23,Wednesday,4979,5.74,76.0,High
image,Technology,creator,1,158,7,7183,15.5,793,2.75,0,Tuesday,1253,4.1,40.3,Medium
carousel,Lifestyle,brand,0,104,5,1638,26.4,397,2.61,17,Sunday,1378,5.27,52.8,Medium
image,Beauty,brand,0,100,5,8475,0.0,648,4.56,4,Saturday,1189,2.41,25.0,Low
image,Beauty,brand,1,151,1,3659,27.9,826,7.12,4,Wednesday,1187,5.38,50.8,Medium
image,Food,brand,1,115,4,7314,14.9,1711,1.83,20,Saturday,4381,4.65,65.5,Medium
image,Food,creator,0,136,3,1591,14.5,162,3.13,8,Wednesday,833,5.16,42.7,Medium
image,Music,creator,0,173,2,7799,38.5,1814,2.07,19,Wednesday,5831,4.29,65.5,Medium
image,Lifestyle,brand,0,179,6,1316,3.0,50,0.1,16,Monday,249,2.4,8.4,Low
reel,Beauty,creator,0,148,5,6826,29.8,2129,5.56,7,Tuesday,3430,5.71,71.0,High
image,Food,brand,0,66,9,66694,12.8,16993,2.89,18,Thursday,31276,4.31,77.2,High
carousel,Beauty,creator,0,122,7,36643,17.3,11133,5.33,19,Monday,35291,7.45,96.2,High
image,Comedy,creator,1,118,4,6378,0.0,3369,4.57,5,Thursday,3824,5.07,67.7,Medium
image,Lifestyle,creator,1,100,6,2340,4.2,254,8.72,5,Wednesday,676,6.26,46.2,Medium
carousel,Technology,brand,0,88,8,2754,2.0,403,2.53,11,Tuesday,829,2.82,21.3,Low
image,Fitness,creator,0,138,9,18386,,4674,5.06,19,Friday,6275,5.14,74.3,High
image,Fitness,brand,1,145,10,2486,22.5,92,2.01,6,Monday,475,3.2,16.9,Low
carousel,Travel,brand,0,139,4,8787,23.2,4614,5.73,15,Tuesday,7198,6.35,83.4,High
carousel,Photography,creator,0,207,7,59642,25.4,15553,6.71,7,Friday,30627,6.96,94.7,High
reel,Food,creator,1,153,8,1964,18.0,115,1.91,22,Friday,1459,2.39,28.6,Low
carousel,Food,creator,1,60,8,38272,20.5,1731,4.17,6,Sunday,9532,4.64,73.8,High
image,Fashion,brand,0,170,7,16484,4.5,1283,7.47,15,Saturday,4505,5.74,74.8,High
reel,Comedy,creator,0,170,7,43284,14.5,8231,3.43,14,Saturday,19038,3.29,65.7,Medium
carousel,Beauty,brand,0,120,5,4228,12.7,455,2.89,22,Thursday,1559,3.25,36.4,Low
carousel,Technology,creator,0,100,4,25522,3.5,6341,5.33,12,Thursday,7230,4.12,66.3,Medium
carousel,Lifestyle,creator,0,197,6,29583,10.5,7511,3.22,21,Thursday,9435,4.36,71.0,High
image,Beauty,brand,0,57,10,11241,2.9,5388,9.18,20,Tuesday,9261,8.83,90.3,High
reel,Fashion,brand,0,77,5,29633,11.5,7169,0.1,6,Sunday,7966,2.68,54.6,Medium
reel,Beauty,brand,0,127,3,15902,14.8,1401,3.76,8,Thursday,1947,3.18,39.6,Medium
reel,Lifestyle,brand,0,129,3,18060,31.9,1393,3.93,4,Wednesday,1826,3.06,37.5,Low
carousel,Fitness,brand,1,146,6,848659,4.8,82575,1.08,11,Tuesday,133564,0.96,56.4,Medium
reel,Photography,brand,0,117,10,223,9.0,30,0.89,10,Sunday,605,1.03,6.8,Low
carousel,Comedy,creator,1,109,7,1143836,11.9,160554,6.08,21,Thursday,222700,7.06,97.5,High
image,Fitness,brand,0,138,10,38632,16.4,8204,0.1,7,Saturday,8175,3.04,57.5,Medium
image,Beauty,brand,0,134,4,568,10.9,56,7.36,1,Sunday,389,3.71,20.4,Low
carousel,Fitness,creator,0,137,9,1402,20.0,102,6.03,3,Friday,483,3.92,23.7,Low
carousel,Fitness,brand,1,85,6,817,15.5,100,6.55,17,Wednesday,444,7.06,44.6,Medium
carousel,Fitness,creator,0,64,3,6959,18.6,314,4.75,18,Sunday,1508,8.42,65.5,Medium
image,Comedy,creator,1,87,4,5350,16.9,580,2.67,17,Tuesday,2219,3.86,48.2,Medium
carousel,Music,brand,1,162,3,19460,5.6,991,2.29,6,Friday,2585,2.73,40.7,Medium
reel,Photography,creator,1,143,8,1387,16.2,269,3.09,0,Thursday,1394,4.22,43.5,Medium
image,Photography,creator,1,104,4,14796,21.9,912,1.33,22,Saturday,2175,2.44,35.8,Low
carousel,Fashion,brand,1,171,6,11897,14.7,1024,3.55,13,Friday,2885,4.42,57.5,Medium
image,Travel,brand,1,129,2,4776,19.5,756,4.82,18,Thursday,1837,7.3,67.7,Medium
reel,Travel,brand,0,123,4,1335,15.3,517,7.14,15,Monday,2118,7.0,69.3,High
reel,Lifestyle,brand,1,96,5,19919,27.7,3007,3.11,12,Sunday,3140,3.3,48.3,Medium
carousel,Fashion,creator,1,104,2,3997,19.0,1159,3.61,19,Monday,4478,5.5,72.9,High
image,Comedy,creator,0,118,4,24118,12.5,1502,4.03,19,Sunday,6219,5.7,78.2,High
image,Food,brand,1,102,4,202,19.7,117,8.58,19,Monday,351,9.13,45.6,Medium
carousel,Fashion,creator,1,77,6,10757,6.1,4594,7.4,14,Monday,6860,6.98,85.2,High
carousel,Music,creator,1,183,5,17214,5.7,419,0.1,11,Thursday,1246,0.96,19.1,Low
carousel,Technology,creator,1,44,6,914,28.5,30,5.54,8,Friday,582,5.36,38.4,Low
carousel,Fitness,creator,0,175,5,5535,9.4,824,4.62,2,Thursday,1364,4.31,43.9,Medium
reel,Music,brand,0,137,2,233,38.1,30,2.74,2,Thursday,552,3.24,18.6,Low
image,Food,brand,0,210,4,1135,0.0,290,7.38,18,Saturday,525,8.71,48.1,Medium
image,Fitness,brand,0,93,9,37180,9.0,3592,4.04,7,Monday,3752,4.45,61.6,Medium
image,Music,brand,1,164,12,2655,9.8,122,3.33,12,Friday,678,3.7,25.6,Low
carousel,Travel,creator,0,114,5,8888,25.2,1517,4.97,21,Wednesday,3531,5.78,71.8,High
reel,Food,creator,1,53,8,4034,23.7,659,1.32,23,Friday,1390,3.71,38.8,Low
reel,Comedy,brand,1,18,8,21333,0.2,5786,3.5,23,Saturday,16901,4.27,74.4,High
carousel,Fitness,creator,0,91,5,6677,23.0,319,5.94,14,Wednesday,837,3.86,30.7,Low
carousel,Fitness,creator,1,125,8,5528,1.5,232,3.68,7,Tuesday,1443,3.2,34.6,Low
image,Music,brand,1,231,8,20373,14.9,1116,4.77,13,Sunday,3095,5.26,66.2,Medium
image,Photography,creator,0,132,10,4203,16.0,817,3.42,21,Thursday,1600,5.05,53.7,Medium
carousel,Lifestyle,creator,0,65,7,8544,6.5,2074,7.22,5,Monday,1763,4.35,48.8,Medium
image,Beauty,creator,1,185,4,7035,1.1,845,0.78,13,Friday,884,1.88,16.3,Low
carousel,Food,brand,0,151,7,67277,12.2,1699,5.82,1,Thursday,4638,4.83,67.9,Medium
carousel,Beauty,creator,1,28,6,3403,9.5,1748,8.94,23,Tuesday,3762,9.2,80.4,High
carousel,Food,brand,1,215,5,699,29.1,42,2.18,20,Monday,971,3.61,31.0,Low
image,Fitness,brand,0,151,7,5580,14.2,515,7.29,9,Friday,993,5.27,46.7,Medium
image,Technology,brand,0,63,6,1092,24.1,71,3.98,21,Friday,709,6.04,45.9,Medium
image,Travel,creator,0,205,6,12216,18.1,5446,7.54,13,Tuesday,5677,7.08,83.3,High
image,Fashion,creator,1,130,3,21655,2.1,4911,3.98,17,Thursday,7414,6.36,83.8,High
image,Comedy,brand,0,136,6,727,0.0,174,4.83,20,Saturday,620,4.69,33.6,Low
carousel,Travel,creator,1,128,5,245,23.0,40,5.28,6,Thursday,623,4.39,30.8,Low
reel,Music,creator,0,94,7,371,1.6,36,1.16,22,Saturday,695,2.35,14.8,Low
image,Comedy,brand,1,133,6,1585,12.9,157,3.17,0,Monday,524,2.29,10.8,Low
carousel,Music,creator,0,169,10,47456,15.5,5427,0.1,12,Thursday,9154,0.31,46.0,Medium
image,Beauty,creator,0,182,5,10372,0.0,4560,6.47,13,Saturday,7380,6.5,84.4,High
carousel,Fitness,brand,0,118,7,15790,25.2,3191,6.22,22,Thursday,7036,5.68,79.4,High
reel,Technology,creator,0,142,2,10089,5.2,2224,0.16,7,Tuesday,2336,3.34,44.2,Medium
reel,Travel,brand,1,200,4,39446,5.8,7159,4.8,16,Saturday,12586,5.99,86.4,High
reel,Lifestyle,brand,0,106,7,2241,0.0,96,6.08,12,Saturday,1023,3.81,33.9,Low
reel,Travel,creator,1,145,7,49298,5.5,5224,6.31,17,Thursday,19326,6.93,92.8,High
carousel,Fitness,brand,0,10,8,2804,3.9,115,4.49,6,Tuesday,638,4.72,34.3,Low
carousel,Technology,creator,0,88,5,26134,17.9,6689,6.42,18,Sunday,11676,7.07,90.1,High
carousel,Comedy,creator,1,145,3,52967,10.9,4162,6.49,19,Wednesday,13375,7.45,92.0,High
image,Travel,creator,1,110,2,8162,0.2,2755,7.71,11,Tuesday,3952,7.69,80.0,High
reel,Photography,brand,1,131,6,2905,3.1,714,4.38,12,Wednesday,1019,3.76,33.4,Low
image,Comedy,creator,1,14,6,2822,14.5,1042,3.27,12,Thursday,1431,5.02,51.5,Medium
image,Lifestyle,brand,1,120,5,75377,10.0,8037,6.7,14,Thursday,15208,4.91,79.7,High
reel,Lifestyle,brand,0,132,4,45352,1.6,6054,2.42,6,Tuesday,15590,2.58,59.0,Medium
carousel,Lifestyle,creator,1,144,3,3486,3.7,42,5.3,0,Wednesday,426,2.94,14.0,Low
image,Beauty,creator,0,166,5,26896,17.8,4462,3.35,2,Wednesday,5238,4.8,69.1,High
carousel,Fashion,creator,1,181,5,2502,5.1,332,5.61,3,Thursday,769,4.7,37.3,Low
image,Technology,creator,0,90,2,25479,10.2,2600,2.59,1,Wednesday,4245,2.56,46.6,Medium
reel,Music,brand,1,117,6,1395,21.7,288,0.75,15,Saturday,1720,2.86,35.0,Low
image,Technology,creator,0,76,5,3813,13.8,784,4.14,2,Wednesday,1079,3.36,30.7,Low
image,Fashion,creator,0,102,8,9269,17.3,986,3.46,9,Thursday,1668,4.32,47.6,Medium
image,Travel,brand,1,95,8,776,26.7,112,1.11,13,Friday,473,1.66,6.5,Low
reel,Beauty,brand,0,95,4,30858,12.3,3580,2.28,19,Friday,7013,4.25,67.3,Medium
image,Technology,brand,0,49,3,3558,19.3,831,3.26,3,Monday,1941,3.51,42.5,Medium
image,Fashion,creator,0,67,10,11746,29.3,2022,3.69,23,Wednesday,2186,3.97,48.9,Medium
image,Technology,brand,0,176,6,3908,7.8,357,6.05,8,Saturday,651,4.23,29.9,Low
carousel,Photography,creator,1,97,2,13559,25.8,2281,9.37,12,Wednesday,3364,7.98,78.2,High
carousel,Fashion,creator,0,30,7,12898,7.4,4143,0.77,17,Friday,6921,3.56,60.7,Medium
reel,Fashion,creator,1,122,6,622,6.3,222,4.29,10,Sunday,650,3.85,26.3,Low
reel,Food,creator,0,86,6,9447,18.0,2268,2.92,9,Thursday,3386,2.86,45.8,Medium
carousel,Comedy,creator,1,148,6,2670,20.7,651,2.77,5,Tuesday,2113,1.69,31.0,Low
image,Travel,creator,0,157,4,49041,14.9,6801,0.1,1,Monday,11660,0.75,48.6,Medium
carousel,Travel,creator,0,87,8,24069,9.9,8798,6.99,8,Saturday,10203,4.93,77.1,High
image,Lifestyle,brand,1,14,4,3333,4.4,359,4.87,12,Saturday,386,6.72,42.7,Medium
reel,Lifestyle,brand,0,94,6,9461,27.9,1194,0.8,5,Saturday,2390,2.47,37.6,Low
carousel,Beauty,creator,0,129,3,62693,6.0,7715,5.51,17,Monday,13939,5.44,83.4,High
carousel,Photography,creator,0,129,6,64371,22.4,5062,4.32,2,Tuesday,9529,4.93,76.5,High
carousel,Technology,creator,0,140,5,6869,0.0,864,6.9,5,Sunday,1713,5.48,58.2,Medium
image,Music,creator,0,125,3,5150,7.2,1727,6.14,14,Saturday,1945,6.75,67.0,Medium
image,Music,creator,1,139,8,60410,13.1,14613,3.56,23,Tuesday,26053,5.51,87.0,High
reel,Comedy,brand,1,169,3,11394,27.1,5650,5.15,0,Wednesday,13279,6.16,87.7,High
image,Travel,creator,1,113,3,37258,3.4,5322,4.77,9,Saturday,7004,5.61,78.9,High
carousel,Travel,creator,1,10,3,20313,26.1,1631,4.25,6,Sunday,4476,4.88,68.0,Medium
carousel,Music,brand,0,192,9,200,8.7,30,7.12,23,Tuesday,231,7.14,43.0,Medium
carousel,Food,brand,0,140,7,1645,7.3,456,3.33,21,Sunday,2108,6.41,67.1,Medium
image,Technology,creator,0,102,5,12013,6.8,831,4.68,16,Saturday,1633,3.42,38.7,Low
reel,Fitness,creator,0,43,7,5159,14.3,799,2.25,16,Sunday,1314,2.46,27.1,Low
reel,Beauty,creator,0,144,6,14862,29.8,2873,5.84,4,Tuesday,3734,3.92,56.5,Medium
image,Photography,creator,1,101,3,3882,20.4,523,1.77,13,Friday,1070,1.4,17.7,Low
image,Food,creator,0,125,3,8586,23.1,797,5.21,0,Wednesday,1608,5.58,57.7,Medium
carousel,Beauty,brand,1,137,5,2240,21.0,278,4.4,6,Friday,1076,4.41,40.5,Medium
carousel,Lifestyle,brand,0,167,4,20537,5.0,8588,3.51,10,Tuesday,11186,4.12,70.1,High
image,Fashion,brand,1,151,7,21547,12.5,7912,5.64,0,Sunday,9995,5.7,82.8,High
image,Photography,creator,1,146,4,10749,18.3,227,0.1,22,Monday,1631,1.59,26.1,Low
reel,Fashion,creator,1,121,8,19969,0.0,1994,7.37,16,Thursday,5860,6.48,81.7,High
